date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:43:42	63334/63334	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:38%20GMT	http://ebon.vn/quan-ao-nam-marlboro-classics/5-m196/	C:/My%20Web%20Sites/quanao/ebon.vn/quan-ao-nam-marlboro-classics/5-m196/index.html	(from http://ebon.vn/thuong-hieu/marlboro-classics-m196/)
06:43:43	107100/107100	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:39%20GMT	http://ebon.vn/vi-da-nam-mont-blanc-cao-cap-v1022/5186.html	C:/My%20Web%20Sites/quanao/ebon.vn/vi-da-nam-mont-blanc-cao-cap-v1022/5186.html	(from http://ebon.vn/thuong-hieu/mont-blanc-m105/)
06:43:43	61727/61727	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:39%20GMT	http://ebon.vn//thuong-hieu/marlboro-classics-m196/?price=1	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/marlboro-classics-m196/indexfe80.html	(from http://ebon.vn/thuong-hieu/marlboro-classics-m196/)
06:43:44	11473/11473	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Mar%202017%2013:24:14%20GMT	http://ebon.vn/data/product/37/52/47/small/vi-nam-da-that-va-mem-mont-blanc-v998-1488633854-58.jpg	C:/My%20Web%20Sites/quanao/ebon.vn/data/product/37/52/47/small/vi-nam-da-that-va-mem-mont-blanc-v998-1488633854-58.jpg	(from http://ebon.vn/thuong-hieu/mont-blanc-m105/)
06:43:44	61752/61752	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:40%20GMT	http://ebon.vn//thuong-hieu/marlboro-classics-m196/?price=3	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/marlboro-classics-m196/indexbdc3.html	(from http://ebon.vn/thuong-hieu/marlboro-classics-m196/)
06:43:44	62905/62905	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:40%20GMT	http://ebon.vn//thuong-hieu/marlboro-classics-m196/?price=2	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/marlboro-classics-m196/index5c3b.html	(from http://ebon.vn/thuong-hieu/marlboro-classics-m196/)
06:43:45	11617/11617	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Nov%202017%2013:25:47%20GMT	http://ebon.vn/data/product/11/58/98/small/vi-da-nam-mont-blanc-cao-cap-v1022-1510061147-473.jpg	C:/My%20Web%20Sites/quanao/ebon.vn/data/product/11/58/98/small/vi-da-nam-mont-blanc-cao-cap-v1022-1510061147-473.jpg	(from http://ebon.vn/thuong-hieu/mont-blanc-m105/)
06:43:46	13107/13107	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Nov%202017%2013:26:05%20GMT	http://ebon.vn/data/product/45/96/61/small/vi-da-nam-mont-blanc-cao-cap-v1022-1510061148-26.jpg	C:/My%20Web%20Sites/quanao/ebon.vn/data/product/45/96/61/small/vi-da-nam-mont-blanc-cao-cap-v1022-1510061148-26.jpg	(from http://ebon.vn/thuong-hieu/mont-blanc-m105/)
06:43:46	61747/61747	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:42%20GMT	http://ebon.vn//thuong-hieu/marlboro-classics-m196/?price=6	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/marlboro-classics-m196/index2e29.html	(from http://ebon.vn/thuong-hieu/marlboro-classics-m196/)
06:43:46	61752/61752	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2013:43:42%20GMT	http://ebon.vn//thuong-hieu/marlboro-classics-m196/?price=4	C:/My%20Web%20Sites/quanao/ebon.vn/thuong-hieu/marlboro-classics-m196/index435d.html	(from http://ebon.vn/thuong-hieu/marlboro-classics-m196/)
